Date,Close,High,Low,Open,Volume
28/09/2020,1872.800049,1872.800049,1872.800049,1872.800049,10455
29/09/2020,1894.300049,1895.400024,1872.400024,1876.5,3283
30/09/2020,1887.5,1899.699951,1879.800049,1893,600
01/10/2020,1908.400024,1909.599976,1882.5,1884.099976,730
02/10/2020,1900.199951,1913,1893.900024,1893.900024,530
05/10/2020,1912.5,1915.599976,1884.699951,1898.900024,1360
06/10/2020,1901.099976,1918,1874.400024,1906.599976,968
07/10/2020,1883.599976,1889.800049,1873.099976,1874.099976,50
08/10/2020,1888.599976,1893,1882.699951,1893,348
09/10/2020,1919.5,1929.099976,1905.099976,1909.300049,580
12/10/2020,1922.5,1926.5,1921.599976,1924,96
13/10/2020,1888.5,1922.199951,1887,1921.900024,191
14/10/2020,1901.300049,1910.800049,1882.5,1889.699951,33
15/10/2020,1903.199951,1906.300049,1889.599976,1897.300049,254
16/10/2020,1900.800049,1900.800049,1898.5,1898.5,53
19/10/2020,1906.400024,1907.800049,1899.5,1907.300049,43
20/10/2020,1910.400024,1910.400024,1896.099976,1901.300049,329
21/10/2020,1924.599976,1927.300049,1913.599976,1913.599976,1202
22/10/2020,1901.099976,1924.300049,1898.199951,1924.300049,899
23/10/2020,1902,1913.300049,1896.199951,1899.900024,287
26/10/2020,1902.699951,1907,1893.5,1895.5,242
27/10/2020,1908.800049,1908.800049,1904.400024,1904.599976,176
28/10/2020,1876.199951,1876.199951,1870.900024,1870.900024,277
29/10/2020,1865.599976,1879.800049,1858.800049,1876.099976,240
30/10/2020,1877.400024,1886.599976,1862.800049,1862.800049,725
02/11/2020,1890.400024,1894.699951,1872.900024,1872.900024,190
03/11/2020,1908.5,1908.5,1891.5,1891.5,712
04/11/2020,1894.599976,1907,1885.300049,1893.800049,782
05/11/2020,1945.300049,1948,1901.699951,1901.699951,135
06/11/2020,1950.300049,1958.800049,1940.800049,1940.800049,304
09/11/2020,1853.199951,1963.199951,1847.099976,1955.599976,745
10/11/2020,1875.400024,1885.300049,1871.199951,1879.300049,276
11/11/2020,1860.699951,1878.800049,1855.5,1878.800049,222
12/11/2020,1872.599976,1878.5,1866.599976,1869,220
13/11/2020,1885.699951,1890.099976,1876.800049,1877,240
16/11/2020,1887.300049,1887.300049,1871,1874.599976,6
17/11/2020,1884.5,1888.400024,1884.5,1888.400024,59
18/11/2020,1873.5,1873.5,1873.5,1873.5,152
19/11/2020,1861.099976,1865.800049,1856,1865.800049,59
20/11/2020,1872.599976,1872.599976,1871.199951,1871.199951,1900
23/11/2020,1837.800049,1837.800049,1829.199951,1834.800049,843
24/11/2020,1804.800049,1829.300049,1799.300049,1829.300049,1041
25/11/2020,1805.699951,1805.699951,1801.400024,1801.400024,205754
27/11/2020,1781.900024,1817,1770.699951,1806.099976,71804
30/11/2020,1775.699951,1787.199951,1762.300049,1785,3145
01/12/2020,1814.099976,1815.900024,1774.900024,1775,1859
02/12/2020,1825.699951,1830,1807.800049,1811.300049,771
03/12/2020,1836.800049,1842,1825.300049,1829.199951,1765
04/12/2020,1835.900024,1847.599976,1828.199951,1840.699951,1213
07/12/2020,1861.800049,1866.900024,1820.800049,1836.5,1427
08/12/2020,1870.800049,1875.800049,1861.800049,1863,121
09/12/2020,1834.599976,1867.099976,1827,1867.099976,215
10/12/2020,1833.599976,1849.099976,1828,1833.199951,177
11/12/2020,1839.800049,1846,1829.099976,1838.5,109
14/12/2020,1828.699951,1835.699951,1822.699951,1835.5,258
15/12/2020,1852.300049,1853.599976,1833.199951,1833.5,961
16/12/2020,1856.099976,1864.699951,1850.5,1856.5,1090
17/12/2020,1887.199951,1896.199951,1874.199951,1874.199951,414
18/12/2020,1885.699951,1889.5,1882.300049,1882.400024,276
21/12/2020,1879.199951,1908,1869.099976,1884.800049,136
22/12/2020,1866.599976,1882.199951,1861,1882.199951,233
23/12/2020,1874.699951,1878.800049,1864.5,1867,82
24/12/2020,1879.900024,1879.900024,1875.699951,1877.300049,46
28/12/2020,1877.199951,1895.800049,1873.699951,1895.5,75
29/12/2020,1879.699951,1881.300049,1879.699951,1881.300049,343
30/12/2020,1891,1895.800049,1877.300049,1879.900024,444
31/12/2020,1893.099976,1901.300049,1892.699951,1897,127
04/01/2021,1944.699951,1945.099976,1912.199951,1912.199951,154
05/01/2021,1952.699951,1952.699951,1941.300049,1941.699951,113
06/01/2021,1906.900024,1959.900024,1901.5,1952,331
07/01/2021,1912.300049,1926.699951,1912,1922.599976,122
08/01/2021,1834.099976,1908,1834.099976,1908,60
